location,total_cases,total_deaths,total_vaccinations,population,Mortality Rate (%),Vaccination Rate (%)
Guinea-Bissau,7586.0,156.0,423400.0,2105580.0,2.06,20.11
Guyana,59889.0,1168.0,775229.0,808727.0,1.95,95.86
Haiti,29477.0,804.0,224249.0,11585003.0,2.73,1.94
High income,201934108.0,2167737.0,2255383620.0,1250514600.0,1.07,180.36
Honduras,391874.0,10512.0,10272600.0,10432858.0,2.68,98.46
Hong Kong,14197.0,213.0,11125644.0,7488863.0,1.5,148.56
Hungary,1553405.0,41405.0,15927853.0,9967304.0,2.67,159.8
Iceland,67673.0,46.0,775708.0,372903.0,0.07,208.02
India,41469499.0,496242.0,1664786038.0,1417173120.0,1.2,117.47
Indonesia,4353370.0,144320.0,274749184.0,275501344.0,3.32,99.73
International,721.0,15.0,0.0,88550568.0,2.08,0.0
Iran,6373174.0,132454.0,132202293.0,88550568.0,2.08,149.3
Iraq,2210582.0,24389.0,15622179.0,44496124.0,1.1,35.11
Ireland,1183008.0,6136.0,10457517.0,5023108.0,0.52,208.19
Isle of Man,21567.0,71.0,184858.0,84534.0,0.33,218.68
Israel,2900569.0,8805.0,17928485.0,9449000.0,0.3,189.74
Italy,10983116.0,146498.0,128429186.0,59037472.0,1.33,217.54
Jamaica,124512.0,2658.0,1303898.0,2827382.0,2.13,46.12
Japan,2743726.0,18815.0,207976179.0,123951696.0,0.69,167.79
Jersey,0.0,0.0,219845.0,110796.0,,198.42
Jordan,1225309.0,13217.0,9147386.0,11285875.0,1.08,81.05
Kazakhstan,1325293.0,18508.0,17941272.0,19397998.0,1.4,92.49
Kenya,321381.0,5583.0,12252574.0,54027484.0,1.74,22.68
Kiribati,460.0,0.0,111686.0,131237.0,0.0,85.1
Kosovo,205938.0,3015.0,1777085.0,1782115.0,1.46,99.72
Kuwait,545717.0,2497.0,7332551.0,4268886.0,0.46,171.77
Kyrgyzstan,198316.0,2880.0,2498929.0,6630621.0,1.45,37.69
Laos,133853.0,547.0,7808722.0,7529477.0,0.41,103.71
Latvia,392764.0,4873.0,2787898.0,1850654.0,1.24,150.64
Lebanon,921208.0,9606.0,4902087.0,5489744.0,1.04,89.3
Lesotho,32176.0,693.0,857925.0,2305826.0,2.15,37.21
Liberia,7272.0,290.0,880313.0,5302690.0,3.99,16.6
Libya,429666.0,6017.0,3051024.0,6812344.0,1.4,44.79
Liechtenstein,8928.0,73.0,69088.0,39355.0,0.82,175.55
Lithuania,705158.0,7889.0,4415212.0,2750058.0,1.12,160.55
Low income,2073446.0,44275.0,95658004.0,737604900.0,2.14,12.97
Lower middle income,76477557.0,1235873.0,3229474082.0,3432097300.0,1.62,94.1
Luxembourg,157985.0,952.0,1231303.0,647601.0,0.6,190.13
